time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.94471305436e-07,2.43325983431e-07,10.0051576649,0.000219613584931,6.28266208278,0.0,2.38144827988e-06,2.14445224288e-05,0.171911140338,0.010126554963,-0.0385357060888,0.0,460.1734143662465,457.1133707994995,459.2527104934775,460.05501565260806
0.12000000000000001,2.2304486646e-05,1.03341566371e-05,10.02143512,0.00146586547268,6.28022385296,0.0,0.00103079862608,0.000429684785843,0.370626246453,0.0363344401912,-0.0452101188394,0.0,467.52686167899606,467.0058492960873,466.1588996954316,468.20199804335675
0.18,0.000160277512815,7.72389022328e-05,10.0480602485,0.00348252598128,6.27702278603,0.0,0.00387940369724,0.00202947945687,0.516820966641,0.0275175311807,-0.0793187423157,0.0,452.6887886139196,449.93398928848796,452.01848082471207,451.30793855280933
0.23999999999999996,0.00054126321129,0.000278615856279,10.082440847,0.00504852509571,6.27204996332,0.0,0.00932375593079,0.00485004253533,0.62913869437,0.0231028983495,-0.0911686842666,0.0,441.0102616343439,440.0247933573038,441.8564149707451,441.49251839255385
0.3,0.00134833159417,0.000678332846545,10.1229352831,0.00684183465443,6.26682215384,0.0,0.0181157145081,0.00863632740532,0.720614193672,0.0408369029349,-0.0800824116479,0.0,435.07634690626065,435.9969054051305,432.98282824957124,434.4723052888331
0.36000000000000004,0.00275016480726,0.00132957738833,10.1667626251,0.00900687262857,6.26164559075,0.0,0.029057587151,0.0132816589288,0.740274709383,0.0243023356021,-0.103047743593,0.0,412.2447746793353,410.20363691731546,411.9152409767539,410.4513194750578
0.4200000000000001,0.00502727004995,0.00234515283868,10.2170387765,0.0108516649789,6.25537882663,0.0,0.0475651934906,0.0207638749721,0.935438084071,0.0412417985369,-0.107398000226,0.0,467.25613390910405,466.9079632284317,465.8118957936979,467.13477103496433
0.48000000000000015,0.00855635998672,0.00385424504939,10.2787929574,0.0130947108455,6.24919620335,0.0,0.0707905406382,0.0298097744886,1.12284346493,0.0282680719493,-0.0955178632314,0.0,464.3170057104251,465.2391803675206,465.37524350422126,464.3593354157019
0.5400000000000001,0.0137768343995,0.00601572724638,10.3562566456,0.0152716154068,6.24351828187,0.0,0.103993258827,0.042504222407,1.45887942927,0.0487949325463,-0.0929179639284,0.0,506.76711836738974,506.9475457579822,507.85859671748045,509.3290006498371
0.6000000000000002,0.0209022749643,0.00891048999883,10.4478826768,0.0186312672804,6.2376717658,0.0,0.134124658765,0.0543251331874,1.59510790873,0.0674787413735,-0.108506866799,0.0,450.728049109083,449.45838143778127,450.2879034231764,451.79870488953947
0.6600000000000003,0.0299122405909,0.0125691540548,10.5465298407,0.0225206708702,6.23163445085,0.0,0.166834903896,0.0680310753839,1.69294918481,0.0589025407789,-0.0882743213115,0.0,438.13635319949054,439.8060120739158,439.44113500287864,438.7328368670963
0.7200000000000003,0.0413232996085,0.017268366968,10.6570900276,0.0258458915097,6.2262041295,0.0,0.214212353137,0.0890494771187,1.99186473546,0.0473460131152,-0.0953854759387,0.0,500.14606043455836,499.6220173210938,498.80117763146256,497.95826212570745
0.7800000000000004,0.0555090221015,0.0232162771873,10.7818834847,0.0285488210092,6.22013722047,0.0,0.259288653114,0.109518675217,2.1675459051,0.0400071109219,-0.116159531467,0.0,465.14776379691267,463.50950089806315,465.0805249440311,464.5064626377924
0.8400000000000004,0.0722921357374,0.0303400403539,10.9133050341,0.0316928570636,6.21290380759,0.0,0.30080667458,0.128203141676,2.21302552343,0.0697891174629,-0.131235713361,0.0,425.70029307414654,424.39428534144207,422.6737150271196,425.23430942733637
0.9000000000000005,0.0916568578534,0.0386270332634,11.0467487744,0.0356471867494,6.20504585565,0.0,0.345390570203,0.14839573866,2.23498177672,0.0567189939299,-0.130432130108,0.0,416.93879804262605,416.9920193359596,417.68862302176774,416.5507397250462
0.9600000000000005,0.113942719767,0.0482416706283,11.1827817653,0.0386348906864,6.19688238194,0.0,0.398228473564,0.172399104837,2.29923644072,0.0300071781432,-0.150726159855,0.0,432.1616830915062,430.4296388878423,432.3320803622854,430.07715379078866
1.0200000000000005,0.139660163662,0.059391536591,11.3237570761,0.0404274336367,6.1875053374,0.0,0.459934544887,0.199433716722,2.39962568591,0.0296115327539,-0.170710573928,0.0,443.7002771025041,442.032963607572,443.74046863481715,443.7082715246752
1.0800000000000005,0.169118851374,0.072133409312,11.4691144385,0.042150400052,6.17675809819,0.0,0.522983886816,0.225450183955,2.44539755442,0.0268625867922,-0.206693841024,0.0,427.8491033293755,424.7404137431721,426.6511661078123,426.41667618655737
1.1400000000000006,0.202871323707,0.0865836271041,11.6199335691,0.0435463301106,6.16458452043,0.0,0.603377798867,0.256365095667,2.58142474823,0.0148746072649,-0.196217779186,0.0,454.6516253237236,455.4507496266904,456.71365296427916,455.7565671055183
1.2000000000000006,0.242104882757,0.103057281811,11.7821393741,0.0440006100324,6.15270581944,0.0,0.705785547984,0.292812051186,2.82463819058,-0.013969008737,-0.201748224258,0.0,488.84756472787655,488.4007983273122,489.5458976013558,487.3949463938297
1.2600000000000007,0.28737693781,0.121587239666,11.9558848932,0.0435787065367,6.14086207759,0.0,0.804517480135,0.324760564445,2.96630064102,0.004117207442,-0.189878037613,0.0,459.95038716746194,460.8527694025683,458.97718397742443,460.41045285240983
